# {"t_start": 1587737942.066072, "env_id": "MiniGrid-Unlock-v0"} 
r,l,t
0,288,3.867039
0,288,5.377358
0,288,6.838969
0,288,8.357266
0,288,10.131574
0,288,11.606241
0,288,13.101283
0,288,14.536122
0,288,16.31389
0,288,17.757504
0,288,19.209423
0,288,20.738599
0,288,22.547576
0,288,24.073059
0,288,25.554863
0.28125,230,26.84604
0,288,28.338832
0,288,30.098108
0,288,31.529373
0,288,33.027855
0,288,34.520459
0,288,36.258607
0,288,37.765765
0,288,39.252522
0,288,40.688258
0,288,42.468609
0,288,44.013384
0,288,45.500105
0.11875,282,46.954555
0,288,48.450408
0,288,50.219701
0,288,51.738572
0,288,53.196303
0.565625,139,53.921701
0,288,55.604494
0,288,57.106943
0,288,58.558222
0,288,60.122045
0,288,61.815903
0,288,63.260709
0,288,64.778435
0,288,66.236531
0,288,68.035008
0.28125,230,69.081985
0,288,70.831844
0,288,72.354766
0,288,73.845607
0.60625,126,74.516332
0,288,75.985665
0,288,77.728328
0,288,79.209435
0.140625,275,80.572997
0,288,82.019775
0,288,83.787376
0,288,85.340035
0.740625,83,85.609456
0,288,87.390085
0,288,88.871883
0,288,90.353513
0,288,91.811657
0,288,93.590087
0,288,95.137359
0.11875,282,96.593867
0,288,98.069203
0.359375,205,99.280008
0,288,100.786089
0,288,102.26406
0,288,104.0264
0.88125,38,104.156375
0,288,105.60025
0,288,107.287593
0,288,108.809861
0,288,110.260435
0,288,111.688224
0.528125,151,112.436659
0,288,114.159602
0,288,115.685919
0,288,117.176544
0,288,118.696116
0,288,120.443964
0.496875,161,121.212466
0,288,122.67318
0,288,124.155462
0,288,125.954432
0,288,127.453184
0.19375,258,128.837901
0.23125,246,130.189902
0,288,131.627865
0,288,133.128752
0,288,134.872039
0.58125,134,135.584843
0.334375,213,136.526509
0.190625,259,137.910592
0.1,288,139.650641
0.678125,103,139.991968
0,288,141.830077
0.4375,180,142.694321
0,288,144.190358
0.353125,207,145.362803
0,288,146.80283
0,288,148.301515
0,288,150.065874
0,288,151.558556
0,288,153.077811
0,288,154.543663
0,288,156.297171
0,288,157.76396
0,288,159.25001
0,288,160.688644
0.165625,267,162.313273
0,288,163.762757
0,288,165.275708
0,288,166.751636
0.40625,190,167.908486
0.978125,7,167.930742
0.359375,205,168.865611
0,288,170.608287
0.240625,243,171.881667
0.91875,26,171.987488
0.265625,235,173.221885
0.496875,161,174.015444
0,288,175.458139
0,288,176.920983
0.3,224,178.20397
0,288,179.683052
0,288,181.479193
0,288,182.983047
0,288,184.40218
0,288,185.887164
0.903125,31,186.230993
0.315625,219,187.242467
0,288,188.927779
0,288,190.446076
0,288,191.953415
0,288,193.454126
0,288,195.199737
0,288,196.76309
0,288,198.282331
0,288,199.789885
0.8625,44,200.203244
0.38125,198,201.100011
0,288,202.532844
0,288,204.23217
0.1875,260,205.599157
0.378125,199,206.509993
0.634375,117,207.178642
0,288,208.675108
0,288,210.450576
0,288,211.948647
0,288,213.381702
0,288,214.895015
0.8875,36,215.316322
0,288,216.834923
0.671875,105,217.424912
0,288,218.866816
0,288,220.298016
0.221875,249,221.644523
0.646875,113,222.263667
0,288,223.70809
0,288,225.413226
0,288,226.934039
0.5875,132,227.653533
0,288,229.122039
0,288,230.598615
0,288,232.337895
0,288,233.812472
0,288,235.268281
0,288,236.70159
0.265625,235,238.061014
0,288,239.803644
0,288,241.325706
0,288,242.774154
0.359375,205,243.93448
0.28125,230,244.94256
0,288,246.634136
0,288,248.087147
0,288,249.575275
0,288,251.069233
0,288,252.833141
0.39375,194,253.733928
0.43125,182,254.812933
0,288,256.297493
0,288,257.754344
0,288,259.281577
0.559375,141,260.010753
0.615625,123,260.656962
0,288,262.539798
0,288,264.066969
0,288,265.511936
0,288,266.947668
0.153125,271,268.563898
0.5625,140,269.270321
0,288,270.755719
0.38125,198,271.677811
0.328125,215,272.976056
0,288,274.46896
0,288,276.161927
0,288,277.651331
0.196875,257,279.091235
0,288,280.590888
0,288,282.077072
0.815625,59,282.516227
0.265625,235,283.825908
0.24375,242,285.133891
0,288,286.577208
0,288,288.038859
0.7875,68,288.488793
0,288,289.969216
0,288,291.480448
0,288,292.928536
0.725,88,293.488409
0,288,294.923602
0,288,296.690878
0.71875,90,297.012237
0,288,298.513157
0,288,300.235542
0,288,301.634379
0.884375,37,301.752173
0,288,303.455528
0,288,304.994871
0,288,306.477426
0,288,307.948067
0.2875,228,309.240265
0,288,310.714817
0,288,312.497942
0,288,313.977006
0,288,315.466648
0.346875,209,316.683507
0.490625,163,317.495988
0,288,318.996535
0.509375,157,319.789117
0,288,321.61103
0,288,323.099238
0,288,324.56685
0,288,326.008627
0,288,327.712965
0,288,329.20217
0,288,330.66156
0.3625,204,331.851022
0,288,333.328557
0,288,334.814796
0,288,336.634572
0,288,338.077503
0,288,339.532752
0.296875,225,340.801039
0,288,342.271346
0,288,343.738756
0,288,345.430515
0,288,346.956208
0,288,348.366988
0,288,349.802616
0,288,351.55004
0,288,353.090724
0.565625,139,353.79701
0,288,355.332618
0,288,356.820419
0,288,358.550667
0.60625,126,359.236113
0,288,360.749151
0,288,362.222828
0,288,363.670034
0,288,365.361717
0,288,366.85628
0.79375,66,367.068948
0.3375,212,368.280925
0,288,369.724573
0,288,371.470407
0,288,372.988969
0.946875,17,373.047297
0,288,374.48564
0.775,72,374.986217
0,288,376.47121
0,288,377.999937
0.45,176,379.129245
0,288,380.605587
0,288,382.117123
0.66875,106,382.729131
0,288,384.259979
0.359375,205,385.497928
0,288,386.961677
0,288,388.446193
0,288,390.179638
0,288,391.712801
0,288,393.203549
0,288,394.707839
0,288,396.472572
0.775,72,396.743239
0.784375,69,397.234039
0,288,398.734196
0,288,400.145793
0,288,401.608103
0,288,403.332181
0.4875,164,404.124996
0,288,405.631897
0.69375,98,406.256143
0.7125,92,406.83056
0,288,408.277992
0,288,409.730917
0,288,411.160735
0.63125,118,411.808139
0,288,413.439042
0.584375,133,414.168134
0,288,415.673057
0,288,417.116318
0,288,418.577277
0.809375,61,419.07084
0,288,420.542164
0.5375,148,421.300535
0,288,422.765587
0,288,424.539463
0,288,426.020572
0,288,427.463133
0,288,428.969523
0.5875,132,429.892126
0,288,431.376854
0.70625,94,431.689723
0,288,433.528063
0,288,435.026306
0,288,436.483046
0,288,437.927807
0,288,439.668221
0,288,441.178919
0,288,442.66001
0,288,444.108538
0,288,445.846855
0,288,447.300035
0,288,448.739019
0.553125,143,449.488216
0.55625,142,450.176108
0.396875,193,451.337376
0,288,452.800882
0.125,280,454.316296
0,288,456.055251
0,288,457.578273
0.675,104,458.222213
0,288,459.748662
0,288,461.210219
0,288,462.693901
0,288,464.462179
