# {"t_start": 1586298803.6044333, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,125,1.823679
0.0,127,3.217943
2.0,202,5.627367
0.0,127,6.951691
1.0,177,8.613861
0.0,129,10.01508
4.0,299,13.034623
0.0,127,14.371648
0.0,129,15.794309
7.0,432,20.81519
3.0,274,24.017258
0.0,127,25.468514
0.0,127,26.964686
4.0,297,30.384633
2.0,222,33.211772
6.0,379,37.884871
13.0,457,43.173214
3.0,246,46.143344
0.0,127,47.66397
0.0,129,49.165687
0.0,127,50.115052
1.0,155,52.503338
0.0,127,53.42585
4.0,299,57.907068
5.0,352,61.96091
1.0,178,64.48529
5.0,350,68.320936
0.0,129,69.804531
0.0,127,71.609135
2.0,202,73.908871
6.0,357,78.367717
13.0,459,84.127999
0.0,125,85.017848
5.0,352,89.388155
0.0,129,90.864438
1.0,176,92.732354
3.0,252,95.785858
3.0,251,98.739102
5.0,327,102.300145
2.0,202,104.89638
5.0,350,109.498211
1.0,157,111.716108
9.0,425,116.536696
3.0,275,119.757387
9.0,384,124.260197
3.0,252,127.198435
2.0,205,129.265508
6.0,361,133.631288
0.0,129,135.093452
2.0,205,137.154351
2.0,223,139.911003
5.0,291,143.253619
15.0,534,149.391407
0.0,129,150.829026
3.0,216,153.555154
8.0,279,156.693202
4.0,282,159.846606
9.0,345,163.487608
18.0,634,170.977016
7.0,450,176.52758
6.0,361,180.20483
1.0,154,181.827313
14.0,365,186.090883
8.0,467,191.770902
3.0,236,193.977959
3.0,249,196.85321
15.0,495,202.751549
14.0,386,207.217433
4.0,283,210.348714
3.0,232,213.148243
18.0,651,220.698559
6.0,361,224.382201
4.0,284,228.143886
18.0,606,234.766838
11.0,271,237.895936
14.0,556,244.217071
10.0,518,250.32001
8.0,446,255.896246
4.0,286,259.073979
19.0,560,265.474859
10.0,377,269.877247
13.0,577,276.378316
14.0,415,281.083779
10.0,547,288.004533
11.0,595,294.574292
8.0,458,300.239028
9.0,531,306.431767
8.0,447,311.411943
15.0,628,318.994063
11.0,397,323.618107
5.0,328,327.149994
11.0,271,330.231415
9.0,494,336.182295
12.0,442,341.136451
9.0,527,347.765008
9.0,348,352.484053
10.0,481,359.135179
18.0,626,366.491994
22.0,636,374.254693
21.0,703,382.96873
13.0,506,389.020556
10.0,545,395.395298
12.0,602,402.181656
7.0,387,406.773838
8.0,473,412.547112
14.0,612,419.403819
15.0,575,426.62419
11.0,393,431.262497
11.0,271,434.432361
17.0,578,441.046012
10.0,394,445.68539
13.0,632,453.322496
9.0,488,459.384901
21.0,730,467.752001
42.0,769,477.079043
14.0,546,483.533639
16.0,500,489.657584
11.0,542,496.088773
21.0,722,504.986475
14.0,381,509.61452
14.0,683,517.624431
16.0,626,525.531091
9.0,326,529.093997
8.0,455,534.904556
8.0,441,539.93528
10.0,463,545.189936
7.0,375,549.740498
13.0,516,555.997156
8.0,404,560.783273
10.0,359,565.231545
10.0,380,569.844045
11.0,532,576.252452
10.0,474,581.559274
11.0,537,587.955255
9.0,484,594.055389
11.0,535,600.42581
14.0,615,608.031542
18.0,523,614.398761
14.0,641,622.178662
19.0,678,630.231715
16.0,581,636.964043
20.0,596,644.461631
17.0,621,652.106201
15.0,452,657.304637
18.0,671,665.331895
11.0,445,671.131825
10.0,360,674.963406
25.0,655,682.904804
12.0,595,690.443618
22.0,748,699.762524
18.0,672,707.845111
16.0,742,716.462826
12.0,607,724.051611
12.0,622,731.79909
20.0,707,740.168017
38.0,718,749.203277
21.0,698,757.437844
16.0,615,765.112447
11.0,504,771.368871
8.0,421,776.362848
21.0,676,784.486284
20.0,671,792.635814
16.0,643,800.542788
10.0,556,807.164166
25.0,723,816.253985
22.0,723,824.766063
13.0,351,829.204727
13.0,603,836.743357
16.0,606,843.68426
11.0,537,850.07203
16.0,608,857.661268
18.0,855,867.892045
17.0,534,874.954843
11.0,559,881.553039
25.0,522,887.931453
21.0,838,897.847748
25.0,734,907.086404
11.0,411,911.969542
17.0,604,919.625536
16.0,593,926.507015
11.0,550,933.074067
18.0,601,940.673186
20.0,719,949.238544
21.0,769,958.892186
8.0,446,964.671957
18.0,582,971.500944
13.0,352,975.966498
11.0,535,982.49161
28.0,829,992.420145
26.0,758,1001.899138
17.0,625,1009.653912
24.0,804,1019.466938
25.0,813,1029.262361
11.0,517,1035.681258
13.0,533,1042.092322
6.0,360,1046.579743
17.0,649,1054.494635
24.0,786,1064.137509
15.0,713,1072.620571
24.0,814,1083.130895
36.0,999,1094.963015
18.0,535,1101.419952
24.0,783,1111.042091
16.0,628,1118.862797
13.0,577,1125.690454
18.0,714,1134.837695
47.0,956,1146.484988
6.0,374,1151.11553
15.0,634,1158.941865
18.0,668,1167.017847
13.0,593,1174.524201
29.0,894,1185.126144
20.0,801,1195.523977
10.0,532,1202.039119
10.0,530,1208.550491
31.0,777,1218.099773
21.0,524,1224.489446
15.0,563,1231.49424
23.0,592,1238.444998
21.0,728,1247.70888
8.0,401,1252.588532
10.0,544,1259.144289
15.0,681,1267.488555
25.0,856,1278.353499
23.0,718,1286.82457
25.0,797,1297.149165
14.0,636,1304.337585
34.0,999,1316.820369
20.0,731,1326.061406
10.0,546,1332.675757
38.0,829,1342.599599
15.0,660,1351.007225
34.0,597,1359.34786
26.0,854,1369.609481
26.0,921,1381.56753
34.0,972,1393.158244
15.0,661,1401.212809
24.0,846,1411.877616
21.0,479,1417.312352
23.0,920,1428.557037
42.0,1170,1442.997114
45.0,1144,1457.181129
32.0,910,1468.377098
26.0,819,1478.20091
17.0,732,1487.40141
23.0,850,1498.117938
21.0,695,1506.430132
10.0,498,1512.640435
24.0,775,1522.153199
35.0,1000,1534.102794
25.0,921,1545.349041
21.0,794,1554.974007
14.0,657,1563.628367
26.0,864,1573.812527
47.0,1135,1587.910235
42.0,970,1599.507344
32.0,1039,1612.255864
24.0,638,1620.144817
23.0,691,1629.023652
36.0,999,1640.849809
42.0,1150,1655.093439
26.0,837,1665.682399
46.0,1167,1680.093366
17.0,624,1687.179226
11.0,537,1693.690532
23.0,852,1704.4642
42.0,1017,1717.06831
39.0,1038,1729.846684
49.0,1237,1744.683832
30.0,848,1755.381792
40.0,1026,1768.011509
35.0,1002,1779.881498
12.0,584,1787.295497
24.0,725,1795.890096
24.0,971,1808.045647
44.0,1065,1820.976788
35.0,893,1832.02908
39.0,1082,1845.128992
43.0,1207,1860.43921
23.0,573,1867.118004
54.0,1264,1882.7268
56.0,1128,1896.808151
35.0,965,1908.356958
25.0,929,1919.730782
34.0,989,1932.087468
38.0,996,1943.892875
13.0,541,1950.989887
29.0,880,1961.352965
18.0,704,1970.323477
45.0,930,1981.61211
34.0,883,1992.574161
35.0,867,2002.704377
43.0,1184,2017.190363
47.0,1078,2030.823264
40.0,1000,2042.633043
69.0,1398,2059.979636
27.0,684,2068.849276
41.0,676,2076.95823
34.0,770,2086.530402
42.0,924,2097.67547
35.0,1139,2111.244136
36.0,1070,2124.854315
70.0,1474,2142.670755
34.0,990,2155.046339
85.0,1581,2174.326909
60.0,907,2185.381495
40.0,1086,2198.384918
48.0,1170,2212.787692
66.0,1197,2228.042953
52.0,1169,2242.398005
39.0,1126,2255.743891
37.0,590,2263.221624
45.0,1065,2276.183743
61.0,1238,2291.687894
73.0,1373,2308.141827
68.0,1536,2327.020555
58.0,1318,2343.01423
43.0,1132,2357.018223
65.0,1255,2372.545717
34.0,602,2379.507518
64.0,1322,2396.263996
29.0,859,2406.336809
34.0,791,2415.89866
64.0,1357,2432.913685
70.0,1352,2449.322629
224.0,1075,2462.356414
60.0,1190,2477.415112
40.0,1175,2491.753079
55.0,1357,2508.163551
111.0,1821,2530.683787
52.0,1198,2545.85026
50.0,1210,2560.492149
57.0,1326,2576.582302
64.0,1470,2595.162471
52.0,1174,2609.463275
67.0,839,2619.540931
64.0,1425,2637.495634
52.0,1286,2657.015885
52.0,1231,2676.032521
38.0,805,2688.026979
43.0,1094,2702.550952
105.0,1718,2727.971642
20.0,753,2739.364227
63.0,1460,2761.005077
49.0,1023,2774.352088
59.0,1363,2793.24495
39.0,919,2805.674807
68.0,1213,2821.910131
64.0,1356,2840.683296
39.0,555,2847.896146
54.0,1125,2863.388071
49.0,1120,2878.471269
50.0,1176,2894.930558
64.0,1058,2909.987759
53.0,1162,2925.91462
103.0,1460,2945.648917
65.0,1122,2961.153394
88.0,1720,2984.411992
96.0,1656,3007.16881
43.0,1127,3021.99
43.0,1014,3035.762491
45.0,1124,3051.223489
62.0,1287,3069.075851
62.0,917,3081.633872
65.0,1309,3099.427985
68.0,1354,3118.439865
235.0,968,3132.063076
51.0,1339,3150.105127
63.0,1063,3164.565506
63.0,1047,3179.463904
91.0,1388,3198.28817
126.0,1672,3221.268765
48.0,1272,3238.960927
111.0,1547,3260.310365
40.0,546,3267.56974
87.0,1465,3288.06624
89.0,1208,3304.436036
57.0,748,3314.74622
57.0,1106,3329.477182
77.0,1497,3350.389971
58.0,830,3361.379133
61.0,1100,3376.703372
45.0,935,3389.345094
108.0,1482,3409.597049
171.0,927,3422.145096
97.0,1475,3443.280793
104.0,1412,3462.888339
53.0,1156,3478.729571
187.0,1611,3501.614029
51.0,1202,3518.020211
98.0,1301,3535.686264
78.0,1313,3554.055665
51.0,1136,3568.959952
60.0,1237,3586.150296
42.0,995,3599.967585
95.0,1343,3618.25847
56.0,1107,3634.201656
53.0,926,3646.946179
199.0,1110,3663.806225
105.0,1388,3685.157938
82.0,1406,3705.723692
66.0,1140,3721.727651
95.0,1457,3741.926944
49.0,1186,3758.658088
82.0,1373,3778.108896
83.0,1502,3799.152838
242.0,1736,3824.038323
39.0,890,3837.592587
155.0,1210,3856.309294
65.0,996,3871.015308
103.0,1283,3889.517088
72.0,1437,3910.909398
257.0,1578,3933.599795
73.0,1505,3954.602906
221.0,1427,3975.260535
108.0,1492,3995.845912
119.0,1688,4019.608877
172.0,1364,4040.061934
86.0,1329,4057.749636
48.0,888,4069.109461
85.0,1079,4082.755598
44.0,949,4095.059335
174.0,1303,4112.202287
84.0,1521,4133.325824
119.0,1449,4152.32957
52.0,1076,4166.493103
102.0,1399,4185.62361
93.0,1249,4201.231133
93.0,1434,4220.055513
49.0,1125,4235.532213
50.0,1169,4250.074872
54.0,1145,4264.566861
97.0,1245,4280.337485
30.0,701,4289.433226
91.0,1169,4303.947158
40.0,798,4313.926597
102.0,1610,4334.277162
88.0,1396,4352.056626
102.0,1295,4369.272829
137.0,1814,4392.989018
323.0,1609,4413.644721
73.0,1155,4428.091004
159.0,1853,4453.254612
188.0,1504,4473.360044
107.0,1330,4489.522833
95.0,1210,4504.303212
201.0,1504,4522.959954
115.0,1348,4539.294601
100.0,1474,4557.995868
48.0,897,4569.198938
221.0,1329,4585.216833
86.0,1441,4602.904102
68.0,1270,4618.677896
242.0,1483,4636.523895
134.0,1490,4655.108683
321.0,1788,4677.183502
164.0,1591,4696.58811
252.0,1917,4720.266088
100.0,1553,4739.471515
280.0,1727,4760.456855
44.0,676,4769.212258
211.0,1626,4789.295953
144.0,1758,4812.846168
358.0,1703,4834.924043
290.0,1758,4857.835644
308.0,1652,4878.781909
83.0,1215,4895.653514
66.0,1281,4913.192524
383.0,1821,4939.812597
269.0,1610,4961.382829
68.0,1367,4980.472019
203.0,1874,5005.410468
273.0,1601,5030.266747
286.0,1511,5053.236562
90.0,1297,5071.625251
360.0,1965,5098.329765
100.0,1439,5117.754685
86.0,929,5130.286037
74.0,1054,5144.42472
119.0,1083,5159.603
136.0,1772,5183.247216
49.0,949,5196.412139
154.0,1563,5218.960055
119.0,1354,5236.17718
69.0,1043,5249.474555
301.0,1697,5272.165662
356.0,2172,5300.484349
176.0,1422,5320.133513
61.0,845,5331.518109
256.0,1415,5349.736611
333.0,1770,5371.804517
331.0,2145,5399.519567
395.0,1502,5418.791997
123.0,1612,5438.962191
366.0,1431,5456.901965
98.0,1343,5473.703321
396.0,1918,5496.706347
96.0,1303,5513.390504
