# {"t_start": 1587198300.8591518, "env_id": "MiniGrid-Empty-16x16-v0"} 
r,l,t
0.652832,395,5.207208
0,1024,12.743389
0,1024,20.36857
0,1024,28.222094
0,1024,36.067843
0,1024,43.966823
0,1024,51.817517
0,1024,59.779862
0.653711,394,62.735022
0,1024,70.541934
0,1024,78.315922
0.761816,271,80.230108
0.71084,329,82.488073
0.691504,351,85.377617
0.60625,448,88.833936
0.727539,310,90.973894
0.785547,244,92.86272
0.59834,457,96.106874
0.398828,684,101.490382
0.932324,77,101.816927
0.930566,79,102.595668
0.948145,59,103.254631
0.652832,395,106.214236
0.787305,242,107.62029
0.927051,83,108.362416
0.8875,128,109.379564
0.673926,371,112.182356
0.771484,260,114.153523
0.689746,353,116.829051
0.956934,49,117.054387
0.740723,295,119.604059
0.963965,41,119.841514
0.882227,134,120.825199
0.945508,62,121.100368
0.937598,71,121.787834
0.932324,77,122.544971
0.830371,193,123.818817
0,1024,131.62023
0.479687,592,136.19984
0.962207,43,136.412294
0.216895,891,143.249297
0.656348,391,146.326777
0.862012,157,147.446593
0.964844,40,147.980128
0.936719,72,148.37033
0.941113,67,149.051288
0.756543,277,151.012656
0.661621,385,154.015138
0.648438,400,157.010768
0.93584,73,157.356993
0.947266,60,157.969462
0.820703,204,159.674735
0.579883,478,163.044168
0.787305,242,164.871701
0.797852,230,166.697183
0.954297,52,166.939636
0.717871,321,169.608662
0,1024,177.241476
0.971875,32,177.380868
0.946387,61,178.020709
0.92002,91,178.435054
0.855859,164,179.99144
0.941113,67,180.304296
0.793457,235,182.0634
0.929688,80,182.78874
0.891016,124,183.75706
0.923535,87,184.148462
0.715234,324,186.822201
0.80752,219,188.192235
0.932324,77,189.024975
0.858496,161,190.098063
0.824219,200,191.685146
0.607129,447,194.95927
0.867285,151,196.503769
0.897168,117,197.032273
0.603613,451,200.597466
0.667773,378,203.661757
0.491113,579,207.862471
0.946387,61,208.499772
0.966602,38,208.669296
0.929688,80,209.389071
0.51748,549,213.453053
0.972754,31,213.586674
0.950781,56,214.191295
0.973633,30,214.322545
0.818945,206,215.969817
0.970117,34,216.119952
0.792578,236,218.035608
0.208105,901,224.962337
0.84707,174,226.085268
0.753906,280,228.117711
0.956055,50,228.790543
0.93584,73,229.126701
0.808398,218,230.841854
0.896289,118,231.774746
0.867285,151,232.793843
0.804004,223,234.538433
0.821582,203,235.862475
0.966602,38,236.40259
0.962207,43,236.585472
0.965723,39,236.753262
0.905078,108,237.655523
0.920898,90,238.421844
0.813672,212,240.20125
0.924414,86,240.590506
0.970996,33,241.086482
0.952539,54,241.349082
0.898926,115,242.235488
0.689746,353,245.029302
0.962207,43,245.231445
0.968359,36,245.398388
0.970996,33,245.881156
0.924414,86,246.291184
0.901563,112,247.190942
0.814551,211,248.990062
0.929688,80,249.326729
0.832129,191,250.910836
0.913867,98,251.817924
0.965723,39,252.007263
0.938477,70,252.338815
0.648438,400,255.642769
0.930566,79,256.006366
0.966602,38,256.165625
0.968359,36,256.789455
0.929688,80,257.171578
0.817187,208,258.888585
0.914746,97,259.832186
0.93584,73,260.149947
0.84707,174,261.684415
0.877832,139,262.667078
0.939355,69,262.954658
0.888379,127,263.876827
0.968359,36,264.398468
0.48584,585,268.450097
0.974512,29,268.570825
0.833008,190,270.296506
0.796973,231,272.116235
0.972754,31,272.259367
0.735449,301,274.377025
0.941992,66,274.989807
0.957812,48,275.191624
0.969238,35,275.336269
0.915625,96,276.120113
0.961328,44,276.684766
0.630859,420,279.827344
0.92002,91,280.612681
0.971875,32,280.789716
0.941992,66,281.083299
0.829492,194,282.770263
0.920898,90,283.497498
0.658105,389,286.452921
0.922656,88,286.843209
0.950781,56,287.550462
0.704687,336,289.848516
0.783789,246,291.720097
0.852344,168,293.28387
0.758301,275,295.309814
0.874316,143,296.435666
0.968359,36,296.620259
0.950781,56,297.307211
0.744238,291,299.517928
0.968359,36,299.670304
0.628223,423,302.815464
0.789062,240,304.561787
0.849707,171,306.127102
0.892773,122,307.028451
0.95166,55,307.304067
0.933203,76,307.989984
0.809277,217,309.438247
0.946387,61,310.060445
0.858496,161,311.112459
0.896289,118,312.017067
0.711719,328,314.202069
0.716113,323,317.035742
0.92002,91,317.815015
0.113184,1009,325.400311
0.822461,202,326.730414
0.735449,301,329.226961
0.913867,98,329.681026
0.884863,131,330.608482
0.639648,410,334.033439
0.776758,254,335.923887
0.931445,78,336.295051
0.589551,467,339.96182
0.876074,141,340.951684
0.82334,201,342.290437
0.713477,326,344.854378
0.840039,182,346.046289
0.804883,222,347.779307
0.631738,419,350.760407
0.941992,66,351.45568
0.969238,35,351.621301
0.970117,34,351.789287
0.73457,302,354.307965
0.964844,40,354.489259
0.946387,61,355.170072
0.974512,29,355.293867
0.716992,322,357.419384
0.934082,75,358.142808
0.919141,92,358.99573
0.855859,164,360.152305
0.907715,105,360.970577
0.752148,282,363.060407
0.37334,713,368.557249
0.945508,62,368.852092
0.741602,294,370.919774
0.491992,578,375.429244
0.882227,134,376.364344
0.83125,192,377.573138
0.750391,284,380.021273
0.577246,481,383.266372
0.944629,63,383.920043
0.811914,214,385.620898
0.966602,38,385.8122
0.940234,68,386.141206
0.853223,167,387.611582
0.834766,188,388.913564
0.969238,35,389.060143
0.912109,100,389.856961
0.96748,37,390.018645
0.33291,759,395.588881
0.804883,222,397.29519
0.966602,38,397.454684
0.818945,206,399.239684
0.750391,284,401.28702
0.917383,94,402.089904
0.952539,54,402.321618
0.233594,872,408.944484
0.79082,238,410.696289
0.580762,477,414.43123
0.644043,405,417.448088
0.850586,170,418.608598
0.971875,32,419.101167
0.593945,462,422.498245
0.669531,376,425.420564
0.971875,32,425.554418
0.434863,643,430.547848
0.780273,250,432.52285
0.975391,28,433.016359
0.969238,35,433.178804
0.870801,147,434.197577
0.957812,48,434.41581
0.957812,48,434.966549
0.897168,117,435.869471
0.968359,36,436.03581
0.92002,91,436.895844
0.955176,51,437.115559
0.928809,81,437.882905
0.96748,37,438.043045
0.956055,50,438.277743
0.962207,43,438.85622
0.95166,55,439.093279
0.711719,328,441.625463
0.872559,145,442.712573
0.840918,181,443.83196
0.949902,57,444.449132
0.937598,71,444.75785
0.953418,53,445.381436
0.930566,79,445.739663
0.883105,133,446.707
0.92793,82,447.462819
0.727539,310,449.66157
0.902441,111,450.563263
0.955176,51,451.217901
0.956055,50,451.443276
0.907715,105,452.332484
