# {"t_start": 1587151054.7770214, "env_id": "MiniGrid-Empty-8x8-v0"} 
r,l,t
0,256,3.505395
0,256,4.880585
0,256,6.279318
0.328516,191,7.385861
0,256,8.741227
0,256,10.136669
0.767969,66,10.611683
0,256,12.067873
0.690625,88,12.387161
0.644922,101,12.965943
0.2125,224,14.256276
0.880469,34,14.366442
0.810156,54,14.537293
0,256,15.935506
0.567578,123,16.57363
0,256,17.949389
0.859375,40,18.327517
0.462109,153,19.111158
0.342578,187,19.998035
0.732812,76,20.498833
0.94375,16,20.54734
0.898047,29,20.671857
0.866406,38,21.031355
0.933203,19,21.097564
0.514844,138,21.794727
0.117578,251,23.203313
0.680078,91,23.516053
0.729297,77,24.016337
0,256,25.372439
0.310937,196,26.568237
0.933203,19,26.643308
0.528906,134,27.314405
0.641406,102,27.923328
0,256,29.354381
0.402344,170,30.175819
0.820703,51,30.354072
0.905078,27,30.705742
0.834766,47,30.851123
0.873437,36,30.968831
0.254687,212,32.224437
0,256,33.616191
0,256,35.045504
0.947266,15,35.090178
0.817187,52,35.247558
0.929688,20,35.53144
0.648438,100,35.907695
0,256,37.226335
0.929688,20,37.288686
0.778516,63,37.782356
0.929688,20,37.850745
0.746875,72,38.365965
0.894531,30,38.470571
0.813672,53,38.64504
0.785547,61,39.136652
0.901563,28,39.223568
0.49375,144,39.957631
0.609766,111,40.585336
0.736328,75,41.084836
0.500781,142,41.854173
0,256,43.245737
0.883984,33,43.347885
0.775,64,43.556556
0.592187,116,44.181401
0.810156,54,44.613285
0.792578,59,44.822762
0.894531,30,44.927545
0.152734,241,46.251465
0.332031,190,47.422733
0.803125,56,47.610763
0.71875,80,48.138648
0.648438,100,48.739719
0.395312,172,49.574013
0.908594,26,49.657328
0.834766,47,50.083486
0.954297,13,50.134371
0.919141,23,50.215505
0.799609,57,50.389375
0.722266,79,50.960409
0.599219,114,51.633031
0.363672,181,52.504601
0.634375,104,53.100264
0.866406,38,53.216166
0.237109,217,54.455172
0,256,55.815011
0.852344,42,55.961738
0.732812,76,56.509751
0.725781,78,57.02722
0.764453,67,57.259478
0.676562,92,57.830337
0.455078,155,58.635166
0.743359,73,59.115633
0.940234,17,59.170593
0.542969,130,59.865446
0.908594,26,59.96045
0.862891,39,60.097185
0.957812,12,60.13921
0.198437,228,61.436961
0.947266,15,61.482019
0.711719,82,62.005672
0.883984,33,62.119288
0.862891,39,62.246429
0.8875,32,62.621433
0.803125,56,62.824467
0.789062,60,63.286843
0,256,64.747294
0.873437,36,64.875338
0.694141,87,65.433121
0.391797,173,66.324718
0.919141,23,66.395046
0.869922,37,66.510189
0.950781,14,66.822389
0,256,68.181175
0.620313,108,68.529543
0.954297,13,68.574041
0.293359,201,69.749742
0.757422,69,70.220271
0.957812,12,70.261233
0.94375,16,70.314329
0.184375,232,71.645102
0.644922,101,71.983044
0.6625,96,72.614466
0.539453,131,73.367888
0.894531,30,73.471931
0.806641,55,73.93382
0.574609,121,74.620611
0.880469,34,74.741716
0.820703,51,74.907668
0.310937,196,76.107287
0.567578,123,76.78464
0.701172,85,77.278323
0.750391,71,77.531137
0.940234,17,77.59191
0.933203,19,77.659471
0,256,79.048082
0,256,80.457764
0.339062,188,81.679583
0.901563,28,81.779088
0.961328,11,81.816968
0.957812,12,81.858408
0.641406,102,82.48305
0.891016,31,82.580451
0.866406,38,82.958072
0.497266,143,83.708562
0.866406,38,83.83046
0.824219,50,83.990909
0.950781,14,84.263817
0.426953,163,85.078963
0.775,64,85.292111
0.479687,148,86.026271
0.363672,181,87.178508
0.764453,67,87.398503
0.792578,59,87.864076
0.957812,12,87.906113
0.743359,73,88.383679
0.929688,20,88.474003
0.933203,19,88.541403
0.472656,150,89.322656
0.957812,12,89.359504
0.753906,70,89.845743
0.789062,60,90.048631
0.511328,139,90.803755
0.796094,58,91.238224
0,256,92.615944
0.845313,44,92.777522
0.121094,250,94.185439
0.701172,85,94.726835
0.922656,22,94.797793
0.651953,99,95.381137
0.827734,49,95.558841
0.722266,79,96.077643
0.873437,36,96.20573
0.367188,180,97.020689
0.933203,19,97.081473
0.743359,73,97.56635
0.736328,75,98.093669
0.655469,98,98.419392
0.244141,215,99.690623
0.60625,112,100.333117
0.571094,122,101.002577
0.444531,158,101.823306
0.792578,59,102.23152
0.898047,29,102.358191
0.820703,51,102.530258
0.553516,127,103.228466
0.729297,77,103.713846
0.838281,46,103.874351
0.542969,130,104.550847
0.792578,59,104.969088
0.919141,23,105.052374
0.869922,37,105.166653
0.592187,116,105.813175
0.936719,18,105.870323
0.613281,110,106.527111
0.961328,11,106.565167
0.729297,77,107.057749
0.901563,28,107.150406
0.673047,93,107.727053
0.855859,41,107.869092
0.950781,14,107.916747
0.694141,87,108.467714
0.553516,127,109.102197
0,256,110.524379
0.866406,38,110.663739
0,256,112.055835
0.585156,118,112.736108
0.746875,72,112.986908
0.775,64,113.477336
0.750391,71,113.952444
0.785547,61,114.19187
0.486719,146,114.967743
0.775,64,115.454359
0.820703,51,115.633141
0.954297,13,115.673583
0.855859,41,115.805514
0.782031,62,116.29139
0.314453,195,117.23619
0.103516,255,118.606465
0.767969,66,119.119348
0.83125,48,119.272861
0.796094,58,119.733881
0.472656,150,120.538811
0.346094,186,121.420801
0.465625,152,122.469886
0.933203,19,122.544223
0.289844,202,123.418515
0.957812,12,123.45427
0.940234,17,123.728215
0.71875,80,123.977647
0.775,64,124.431983
0.732812,76,124.685061
0.746875,72,125.177932
0.933203,19,125.245224
0.950781,14,125.292694
0.848828,43,125.429907
0.736328,75,125.912952
0.83125,48,126.067508
0.571094,122,126.744322
0.862891,39,127.143798
0.483203,147,127.920094
0.954297,13,127.961656
0.961328,11,127.994347
0.750391,71,128.44478
0.961328,11,128.487173
0.961328,11,128.523677
0.426953,163,129.347357
0.94375,16,129.396265
0.905078,27,129.480439
0.845313,44,129.869698
0.265234,209,130.865884
0.947266,15,130.916142
0.957812,12,131.190578
0.708203,83,131.454171
0.732812,76,131.951912
0.950781,14,132.001266
0.841797,45,132.157292
0.957812,12,132.199247
0.862891,39,132.57783
0.905078,27,132.683524
0.950781,14,132.731462
0.905078,27,132.816581
0.905078,27,132.926401
0.71875,80,133.503746
0.746875,72,134.026144
0,256,135.446194
0.806641,55,135.643902
0.919141,23,135.725983
0.244141,215,136.997693
0.518359,137,137.754371
0.898047,29,137.865945
0.806641,55,138.325026
0.648438,100,138.67115
0.880469,34,139.050805
0.778516,63,139.273698
0.377734,177,140.357965
0.521875,136,141.136555
0.961328,11,141.188504
0.915625,24,141.275553
0.799609,57,141.476486
0.757422,69,142.051836
0.817187,52,142.231078
0.940234,17,142.290354
0.848828,43,142.716726
0.845313,44,142.865982
0.954297,13,142.909512
0.838281,46,143.277161
0.852344,42,143.446794
0.736328,75,143.69774
0.644922,101,144.301838
0.852344,42,144.663153
0.936719,18,144.738193
0.704687,84,145.004771
0.852344,42,145.378751
0.644922,101,145.746967
0.173828,235,147.118262
0.845313,44,147.498138
0.936719,18,147.556846
0.862891,39,147.68202
0.518359,137,148.388682
0.363672,181,149.518968
0.936719,18,149.600243
0.940234,17,149.660406
0.750391,71,149.888561
0.908594,26,150.227921
0.806641,55,150.390781
0.912109,25,150.468163
