# {"t_start": 1586298803.508175, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,173,2.867548
3.0,227,4.845002
0.0,127,6.1914
3.0,250,8.947644
1.0,173,10.610612
1.0,171,12.764474
1.0,154,14.280766
0.0,125,15.664726
1.0,171,17.520777
0.0,129,19.002331
0.0,125,20.464191
0.0,127,21.32351
1.0,157,23.608916
1.0,173,25.393717
0.0,129,26.891689
0.0,129,28.435758
0.0,129,29.347558
0.0,125,30.782204
0.0,127,32.265278
0.0,129,33.767467
0.0,129,35.284609
2.0,200,37.328851
3.0,270,40.558867
11.0,481,46.592537
0.0,129,48.127889
5.0,350,52.680847
2.0,202,54.832492
10.0,447,61.269918
3.0,246,63.67903
2.0,200,66.339507
9.0,382,71.216174
0.0,129,73.048797
1.0,158,74.804328
0.0,127,76.256489
0.0,129,77.158542
1.0,155,79.48874
11.0,484,84.836469
1.0,176,86.711346
4.0,285,90.557075
1.0,157,92.292612
14.0,577,98.950371
1.0,175,100.751989
3.0,230,103.578195
0.0,129,105.048176
1.0,153,106.746656
0.0,127,108.289946
0.0,129,110.061473
5.0,330,113.928754
3.0,230,116.769984
11.0,465,122.557719
3.0,236,124.771303
7.0,446,130.416379
3.0,230,132.594822
2.0,186,135.086894
5.0,313,138.519347
8.0,302,141.970041
7.0,250,144.882287
4.0,319,148.278145
4.0,302,152.204466
2.0,206,154.213982
0.0,129,155.685756
1.0,155,157.33375
2.0,185,159.761947
8.0,300,163.07759
1.0,155,164.70049
13.0,548,170.947778
7.0,428,175.722435
0.0,127,177.14621
9.0,475,182.852843
8.0,466,187.872231
16.0,648,195.434971
6.0,379,199.854238
4.0,267,202.937758
9.0,326,206.93537
8.0,295,210.186498
7.0,372,214.555166
12.0,521,219.976256
12.0,520,226.036491
4.0,319,230.009589
6.0,379,234.422194
14.0,400,239.096403
15.0,602,245.800323
7.0,385,250.279287
4.0,281,253.462812
13.0,539,259.689414
1.0,157,261.323093
8.0,297,265.1755
8.0,460,270.20607
8.0,392,274.807383
13.0,596,281.977847
11.0,583,288.564987
6.0,359,292.849678
13.0,530,298.966873
12.0,322,302.47515
8.0,412,307.18546
8.0,463,312.871313
11.0,271,316.054042
7.0,410,320.761168
8.0,283,323.927226
7.0,248,326.880149
17.0,574,333.4005
15.0,563,340.476751
17.0,647,348.591438
11.0,427,354.09566
12.0,497,360.835829
26.0,586,367.736073
13.0,591,374.544786
13.0,466,380.295484
10.0,508,386.34269
9.0,471,391.576074
23.0,598,398.928254
13.0,527,405.158823
11.0,549,411.487936
23.0,789,420.924591
8.0,460,426.641166
8.0,438,431.630495
10.0,473,437.503083
11.0,571,444.07441
10.0,469,449.89513
11.0,549,456.371166
15.0,437,461.346791
16.0,615,468.87011
5.0,313,472.386228
11.0,530,478.683758
13.0,620,486.28307
14.0,624,493.969459
14.0,507,499.48915
8.0,418,504.894229
15.0,402,509.672831
18.0,686,517.699192
9.0,472,523.184994
24.0,782,532.690528
12.0,518,538.95854
12.0,460,544.763026
11.0,425,549.705925
