# {"t_start": 1586192362.0244474, "env_id": "PongNoFrameskip-v4"} 
r,l,t
-20.0,892,9.502752
-20.0,942,16.995425
-20.0,838,23.845141
-21.0,882,30.788486
-21.0,898,37.123743
-20.0,840,42.641963
-20.0,949,48.633616
-21.0,779,53.452477
-21.0,897,59.23031
-20.0,912,65.255017
-20.0,1062,72.316632
-21.0,787,77.763289
-21.0,820,83.314075
-20.0,995,90.039806
-21.0,782,95.344067
-21.0,777,100.236724
-21.0,776,105.151081
-21.0,792,110.060097
-21.0,942,116.800319
-20.0,919,122.702571
-21.0,898,128.7979
-20.0,897,134.492701
-20.0,1009,141.265061
-20.0,1094,148.126614
-19.0,1131,155.477368
-18.0,1280,164.027737
-21.0,818,169.24298
-20.0,865,175.00512
-21.0,917,180.97143
-19.0,1086,188.700239
-20.0,915,194.983761
-20.0,864,200.472833
-20.0,881,205.809362
-20.0,931,211.805047
-21.0,821,216.847943
-20.0,898,222.486933
-21.0,789,227.405815
-20.0,956,233.741673
-20.0,836,239.09493
-20.0,1075,246.198096
-19.0,1058,253.049716
-21.0,846,258.225152
-20.0,865,263.810434
-20.0,979,270.035842
-20.0,874,275.641744
-18.0,1017,282.298725
-21.0,832,287.720761
-20.0,947,293.774901
-21.0,942,299.880125
-20.0,934,305.693009
-20.0,902,311.78891
-19.0,1113,318.898515
-20.0,1141,326.207324
-19.0,1058,332.851296
-18.0,1083,339.532492
-18.0,1288,347.854057
-18.0,1233,355.79146
-18.0,1145,362.970501
-19.0,1141,370.191498
-21.0,947,376.079866
-19.0,1272,384.113433
-19.0,1210,391.859884
-19.0,1022,398.267686
-16.0,1345,406.677488
-20.0,1464,415.75905
-20.0,1630,426.338361
-16.0,1787,437.702293
-18.0,1537,447.458601
-20.0,1738,458.638775
-18.0,1660,469.224721
-19.0,1812,480.814832
-16.0,2133,494.177746
-17.0,2218,508.649534
-18.0,2008,521.371377
-19.0,2072,534.94387
-19.0,2090,548.385628
-14.0,1964,561.488431
-7.0,2433,577.098906
-14.0,2368,592.494897
-15.0,1953,605.00121
-19.0,1480,614.479305
-20.0,1651,625.208755
-8.0,2596,642.16224
-6.0,2606,659.299692
-21.0,2003,672.27198
2.0,2982,691.273285
-11.0,2111,704.712912
-17.0,2488,721.216478
7.0,2657,738.245584
-8.0,2363,753.328125
-6.0,2442,769.00486
-9.0,2791,787.056298
-16.0,2165,800.984257
2.0,3120,820.97154
-6.0,2836,839.28447
-4.0,2955,858.175847
-11.0,2406,873.612815
-6.0,2632,890.640606
-14.0,2509,906.592286
-5.0,3082,926.48937
10.0,2355,941.795156
7.0,2662,958.73446
-5.0,2846,977.262096
10.0,2487,993.1717
-8.0,3208,1013.622838
-8.0,3439,1035.966117
-8.0,3054,1055.536351
2.0,2951,1074.586515
9.0,2893,1093.16614
-2.0,3241,1114.129682
-7.0,3342,1135.609533
14.0,2175,1149.614077
-9.0,3105,1169.689775
9.0,2469,1185.558006
3.0,3357,1207.315172
1.0,3402,1229.04998
-2.0,4268,1256.615569
14.0,2241,1271.209833
20.0,1665,1281.987677
16.0,2111,1295.497694
-8.0,3168,1316.146454
-2.0,3797,1340.775461
-6.0,2968,1359.897619
-5.0,3350,1381.636707
-4.0,3729,1405.664699
17.0,2024,1418.797518
14.0,2245,1433.371436
-9.0,2952,1452.401661
-3.0,4268,1479.864127
-2.0,4031,1505.764934
5.0,3423,1527.805234
20.0,1662,1538.656986
20.0,1666,1549.41787
12.0,2034,1562.636566
14.0,2187,1576.820985
17.0,1892,1589.110045
-8.0,3269,1610.144566
20.0,1703,1621.285115
20.0,1663,1632.096019
1.0,3691,1655.731318
1.0,4135,1682.649447
20.0,1668,1693.342793
19.0,1701,1704.333775
2.0,3943,1730.086694
19.0,1740,1741.168587
-6.0,3493,1764.011346
2.0,3876,1789.123269
20.0,1669,1799.910013
4.0,3758,1824.122105
3.0,4262,1851.891088
20.0,1671,1862.656052
5.0,3545,1885.452456
4.0,3699,1909.32238
-3.0,3803,1934.405275
20.0,1667,1945.201648
18.0,1906,1957.506252
-1.0,4285,1985.207017
8.0,3883,2010.181355
-1.0,3422,2032.302415
18.0,1873,2044.5567
20.0,1770,2056.087013
18.0,1952,2068.669265
-5.0,3615,2092.041745
1.0,3772,2116.708101
-1.0,4050,2142.713314
6.0,3643,2166.516987
19.0,1727,2177.620064
15.0,2071,2190.863049
20.0,1670,2201.696893
8.0,3015,2221.314264
11.0,2838,2239.629487
17.0,2191,2253.82788
12.0,3002,2273.360731
3.0,3522,2296.066836
13.0,2688,2313.476541
16.0,2034,2326.64181
18.0,1737,2337.706613
15.0,2124,2351.582396
19.0,1801,2363.20205
18.0,1818,2374.963624
18.0,1895,2387.19707
20.0,1668,2398.019132
19.0,1810,2409.705323
17.0,1979,2422.682027
17.0,1916,2435.085619
16.0,2310,2450.077957
19.0,2129,2463.732946
20.0,1725,2475.008226
16.0,2234,2489.432196
15.0,2558,2506.025311
19.0,2126,2519.898544
18.0,2378,2535.28524
8.0,3058,2555.086343
13.0,2604,2571.943762
14.0,2483,2588.144117
16.0,2318,2603.133414
18.0,1862,2615.119793
20.0,1664,2625.859032
19.0,2122,2639.724719
20.0,2032,2652.907185
17.0,1877,2665.151081
18.0,1783,2676.51834
18.0,1937,2689.176403
18.0,2163,2702.971231
20.0,1707,2714.212076
20.0,2076,2727.648293
18.0,2188,2741.740389
18.0,2202,2755.937278
20.0,1667,2766.770385
19.0,2160,2781.671882
19.0,2030,2795.104861
18.0,2434,2810.885392
17.0,2003,2823.987477
19.0,1715,2835.099527
15.0,2391,2850.689366
21.0,1679,2861.545286
19.0,1706,2872.512301
21.0,1637,2883.329247
19.0,2231,2897.808063
20.0,1665,2908.530723
